Month,Year,ExpenditureCategory,CPI(2006=100)
1,2008,Wine,110.7
1,2008,Beer,111.8
1,2008,Tobacco,136
1,2008,Clothing and Footwear,107.4
1,2008,Clothing,106.8
1,2008,Clothing Material,102
1,2008,Garments,106.9
1,2008,Other Garments,109.6
1,2008,Clothing Maintenance,105.7
1,2008,Footwear,108.5
1,2008,Footwear,108.6
1,2008,Footwear Maintenance,104.6
1,2008,"Housing, Water, Energy, Gas and Other Fuels",109.8
1,2008,Real Rent,97
1,2008,Rent,97
1,2008,Apartment Maintenance,104
1,2008,Materials for Apartment Maintenance,105
1,2008,Apartment Maintenance Services,102.9
1,2008,Waterworks and Other Housing Services,107.9
1,2008,Water Supply,107.8
1,2008,Garbage Collection,108.2
1,2008,Waste Water Drainage,107.8
1,2008,"Energy, Gas and Other Fuels",111.7
1,2008,Hosehold Electric Energy,118.1
1,2008,Gas,107
1,2008,Liquid Fuels,119.7
1,2008,Solid Fuels,101.7
1,2008,Distric Heating,118.4
1,2008,Household Equipment and Maintenance,105.9
1,2008,"Furniture, Carpets and Other Rugs",100.9
1,2008,"Furniture, Lightning and Decorative Ornaments",99.7
1,2008,Carpets and Other Floor Rugs,107.2
1,2008,Textile for Household Use,102.8
1,2008,Household Appliances,98.1
1,2008,Big Household Appliances,97.2
1,2008,Small Electrical Appliances,98.2
1,2008,Household Appliances Maintenance,105.4
1,2008,Dishes and Cutlery,104.7
1,2008,Tools and Other Equipment for House and Garden,97.6
1,2008,Bigger House and Garden Tools and Equipment,94
1,2008,Small Tools and Accessories,101.3
1,2008,Funds and Services for Ongoing Maintenance of Dwelling,112.9
1,2008,Dwelling Maintenance Funds,113
1,2008,Dwelling Maintenance Services,105.9
1,2008,Health,109.8
1,2008,Medication and Medical Equipment,113.1
1,2008,Medication,113.2
1,2008,Other Medical Products,109
1,2008,Non-hospital Health Services,103.2
1,2008,Medical Services,106.8
1,2008,Dentist Services,105.9
1,2008,Accompanying Medical Services,95.1
1,2008,Transport,109.1
1,2008,Procurement of Vehicles,97.9
1,2008,Cars,97.8
1,2008,Bycicles,104.9
1,2008,Vehicles Use and Maintenance,111.9
1,2008,Reserve Parts,111.1
1,2008,Fuels and Lubricants for Passenger Vehicles,113.4
1,2008,Maintenance of Passenger Vehicles,108.5
1,2008,Other Vehicle Related Services,106
1,2008,Transport Services,107.7
1,2008,Rail Passenger Transport,100
1,2008,Road Passenger Transport,108.7
1,2008,Plane Passenger Transport,100
1,2008,Communication,98.9
1,2008,Mail Services,118.7
1,2008,Telephone Equipment,117.1
1,2008,Telephone and Other Equipment,98.4
1,2008,Telephone Services,101.2
1,2008,Culture and Recreation,109.7
1,2008,"Audio-Video, Photographic and Computer Equipment",94.3
1,2008,"Sound and Picture Reciving, Capturing and Reproduction Equipment",93
1,2008,Photographic and Film Equipment,91.5
1,2008,Computer Equipment,
1,2008,Sound and Picture Capturing Medium,97.7
1,2008,"Audio-Visual, Photographic and Computer Equipment Maintenance",107
1,2008,Grearer Lasting Goods for Culture and Recreation,78.1
1,2008,Musical Instruments,78.1
1,2008,"Other Recreational, Garden and Pet-related Equipment",110.5
1,2008,"Toys, Games and Hobbies",110
1,2008,"Garden, Seedling and Flower",111.2
1,2008,Pets and Pet-related Means and Services,
1,2008,Vet and Other Pet Services,
1,2008,Cultural and Recreational Services,114.7
1,2008,Recreational Services,102.4
1,2008,Cultural Services,116
1,2008,"Newspaper, Books and Office Equipment",112.6
1,2008,Books,131.8
1,2008,Newspapers and Magazines,99.4
1,2008,Office Equipments,105.5
1,2008,Education,110.6
1,2008,Highschool Education,113.4
1,2008,Higher Education,111.6
1,2008,Other Types of Education,104.5
1,2008,Restaurants and Hotels,109.6
1,2008,"Restaurants, Cafes and Canteens",111.3
1,2008,Restaurants and Cafes,111.3
1,2008,Accommodation Services,101.7
1,2008,Accommodation,100.6
1,2008,Other Personal Items and Other Services,108.8
1,2008,Personal Care,107.2
1,2008,Cosmetic and Hairdresser Services,104.9
1,2008,Personal Care Electrical Equipment,96.6
1,2008,Other Personal Care Items,108.2
1,2008,Personal Items,108.5
1,2008,Jewelry and Watches,105.3
1,2008,Other Personal Items,110.6
1,2008,Social Security,133.5
1,2008,Insurance,104.1
1,2008,Dwelling Insurance,105.2
1,2008,Vehicle Insurance,103.6
1,2008,Financial Services,125.7
1,2008,Other Financial Services,125.7
1,2008,Other Services,103.8
1,2009,Total,125.4
1,2009,Food and Non-alcoholic Drinks,136.9
1,2009,Food,139.1
1,2009,Bread and Cereal,151.4
1,2009,Meat,132
1,2009,Fish,121.4
1,2009,"Milk, Cheese and Eggs",146.2
1,2009,Oils and Fats,131.9
1,2009,Fruit,119.7
1,2009,Vegetables,159.9
1,2009,"Sugar, Jam, Honey and Chocolate",112.8
1,2009,Other Eatable Prducts,121.5
1,2009,Non-alcoholic Drinks,117.4
1,2009,"Coffee, Tea and Cocoa",126.8
1,2009,"Mineral Water, Non-alcoholic Drinks and Juices",110.6
1,2009,"Alcoholic Drinks, Tobacco and Narcotics",162
1,2009,Alcoholic Drinks,132.2
1,2009,Strong Alcoholic Drinks,125.4
1,2009,Wine,138.9
1,2009,Beer,132.3
1,2009,Tobacco,172.7
1,2009,Clothing and Footwear,114.3
1,2009,Clothing,115.6
1,2009,Clothing Material,104.2
1,2009,Garments,115.9
1,2009,Other Garments,112.4
1,2009,Clothing Maintenance,111.3
1,2009,Footwear,112.3
1,2009,Footwear Maintenance,108.7
1,2009,"Housing, Water, Energy, Gas and Other Fuels",126.2
1,2009,Real Rent,110.5
1,2009,Rent,110.5
1,2009,Apartment Maintenance,109.9
1,2009,Materials for Apartment Maintenance,111.3
1,2009,Apartment Maintenance Services,108.3
1,2009,Waterworks and Other Housing Services,115.3
1,2009,Water Supply,115.6
1,2009,Garbage Collection,114.3
1,2009,Waste Water Drainage,115.9
1,2009,"Energy, Gas and Other Fuels",130.9
1,2009,Hosehold Electric Energy,132.9
1,2009,Gas,149.3
1,2009,Liquid Fuels,77.4
1,2009,Solid Fuels,121.7
1,2009,Distric Heating,156.2
1,2009,Household Equipment and Maintenance,105.9
1,2009,"Furniture, Carpets and Other Rugs",105.7
1,2009,"Furniture, Lightning and Decorative Ornaments",103.8
1,2009,Carpets and Other Floor Rugs,115.1
1,2009,Textile for Household Use,104.6
1,2009,Household Appliances,100.8
1,2009,Big Household Appliances,99.9
1,2009,Small Electrical Appliances,100.6
1,2009,Household Appliances Maintenance,108.8
1,2009,Dishes and Cutlery,111.1
1,2009,Tools and Other Equipment for House and Garden,100.3
1,2009,Bigger House and Garden Tools and Equipment,96.5
1,2009,Small Tools and Accessories,104
1,2009,Funds and Services for Ongoing Maintenance of Dwelling,108.8
1,2009,Dwelling Maintenance Funds,108.8
1,2009,Dwelling Maintenance Services,109.7
1,2009,Health,116.6
1,2009,Medication and Medical Equipment,120.4
1,2009,Medication,120.5
1,2009,Other Medical Products,119.5
1,2009,Non-hospital Health Services,108.9
1,2009,Medical Services,115
1,2009,Dentist Services,112.6
1,2009,Accompanying Medical Services,96
1,2009,Transport,107.1
1,2009,Procurement of Vehicles,109.6
1,2009,Cars,109.6
1,2009,Bycicles,109.4
1,2009,Vehicles Use and Maintenance,101.8
1,2009,Reserve Parts,114.5
1,2009,Fuels and Lubricants for Passenger Vehicles,93
1,2009,Maintenance of Passenger Vehicles,116.2
1,2009,Other Vehicle Related Services,115.2
1,2009,Transport Services,121.8
1,2009,Rail Passenger Transport,120
1,2009,Road Passenger Transport,123.2
1,2009,Plane Passenger Transport,109.2
1,2009,Communication,106
1,2009,Mail Services,128.6
1,2009,Telephone Equipment,105.8
1,2009,Telephone and Other Equipment,105.8
1,2009,Telephone Services,111.7
1,2009,Culture and Recreation,120
1,2009,"Audio-Video, Photographic and Computer Equipment",87.7
1,2009,"Sound and Picture Reciving, Capturing and Reproduction Equipment",88.1
1,2009,Photographic and Film Equipment,68.4
1,2009,Computer Equipment,
1,2009,Sound and Picture Capturing Medium,94.5
1,2009,"Audio-Visual, Photographic and Computer Equipment Maintenance",108.4
1,2009,Grearer Lasting Goods for Culture and Recreation,82.2
1,2009,Musical Instruments,82.2
1,2009,"Other Recreational, Garden and Pet-related Equipment",136
1,2009,"Toys, Games and Hobbies",147.5
1,2009,"Garden, Seedling and Flower",122.7
1,2009,Pets and Pet-related Means and Services,
1,2009,Vet and Other Pet Services,
1,2009,Cultural and Recreational Services,125.3
1,2009,Recreational Services,106.7
1,2009,Cultural Services,126.4
1,2009,"Newspaper, Books and Office Equipment",119.8
1,2009,Books,142.5
1,2009,Newspapers and Magazines,132.2
1,2009,Office Equipments,116.7
1,2009,Education,118.5
1,2009,Highschool Education,118.6
1,2009,Higher Education,122.5
1,2009,Higher Education,122.3
1,2009,Other Types of Education,106.6
1,2009,Other Types of Education,107.1
1,2009,Restaurants and Hotels,119.1
1,2009,"Restaurants, Cafes and Canteens",121.5
1,2009,Restaurants and Cafes,121.8
1,2009,Accommodation Services,107.6
1,2009,Accommodation,101.2
1,2009,Other Personal Items and Other Services,116
1,2009,Personal Care,114.2
1,2009,Cosmetic and Hairdresser Services,109.2
1,2009,Personal Care Electrical Equipment,89.1
1,2009,Other Personal Care Items,116.4
1,2009,Personal Items,121.6
1,2009,Jewelry and Watches,130.1
1,2009,Other Personal Items,119.3
1,2009,Social Security,145.2
1,2009,Social Security,145.6
1,2009,Insurance,107.3
1,2009,Dwelling Insurance,122.5
1,2009,Vehicle Insurance,100.1
1,2009,Financial Services,129.3
1,2009,Other Financial Services,133.1
1,2009,Other Services,108.6
1,2010,Total,131.4
1,2010,Food and Non-alcoholic Drinks,136.7
1,2010,Food,138.1
1,2010,Bread and Cereal,146.3
1,2010,Meat,130.8
1,2010,Fish,121.1
1,2010,"Milk, Cheese and Eggs",142.3
1,2010,Oils and Fats,119.1
1,2010,Fruit,104.1
1,2010,Vegetables,176
1,2010,"Sugar, Jam, Honey and Chocolate",120.4
1,2010,Other Eatable Prducts,134.1
1,2010,Non-alcoholic Drinks,124.2
1,2010,"Coffee, Tea and Cocoa",139
1,2010,"Mineral Water, Non-alcoholic Drinks and Juices",113.9
1,2010,"Alcoholic Drinks, Tobacco and Narcotics",179.7
1,2010,Alcoholic Drinks,149
1,2010,Strong Alcoholic Drinks,141
1,2010,Wine,154.2
1,2010,Beer,149.8
1,2010,Tobacco,190.3
1,2010,Clothing and Footwear,122.1
1,2010,Clothing,125.1
1,2010,Clothing Material,109.3
1,2010,Garments,125.9
1,2010,Other Garments,106.7
1,2010,Clothing Maintenance,116.3
1,2010,Footwear,117.3
1,2010,Footwear,117.4
1,2010,Footwear Maintenance,111.1
1,2010,"Housing, Water, Energy, Gas and Other Fuels",130.6
1,2010,Real Rent,115.2
1,2010,Rent,115.2
1,2010,Apartment Maintenance,118.9
1,2010,Materials for Apartment Maintenance,121
1,2010,Apartment Maintenance Services,116.7
1,2010,Waterworks and Other Housing Services,132.6
1,2010,Water Supply,137.7
1,2010,Garbage Collection,116.6
1,2010,Waste Water Drainage,138.3
1,2010,"Energy, Gas and Other Fuels",132.9
1,2010,Hosehold Electric Energy,132.9
1,2010,Gas,155.8
1,2010,Liquid Fuels,116.6
1,2010,Solid Fuels,123.6
1,2010,Distric Heating,166.8
1,2010,Household Equipment and Maintenance,114.4
1,2010,"Furniture, Carpets and Other Rugs",114
1,2010,"Furniture, Lightning and Decorative Ornaments",111.2
1,2010,Carpets and Other Floor Rugs,127.6
1,2010,Textile for Household Use,107.4
1,2010,Household Appliances,105.5
1,2010,Big Household Appliances,104.1
1,2010,Small Electrical Appliances,99
1,2010,Household Appliances Maintenance,122.7
1,2010,Dishes and Cutlery,115.6
1,2010,Tools and Other Equipment for House and Garden,106.1
1,2010,Bigger House and Garden Tools and Equipment,102.6
1,2010,Small Tools and Accessories,109.8
1,2010,Funds and Services for Ongoing Maintenance of Dwelling,120.3
1,2010,Dwelling Maintenance Funds,120.2
1,2010,Dwelling Maintenance Services,123.5
1,2010,Health,124.1
1,2010,Medication and Medical Equipment,128.4
1,2010,Medication,128.5
1,2010,Other Medical Products,133.4
1,2010,Non-hospital Health Services,115.2
1,2010,Medical Services,124.2
1,2010,Dentist Services,118.4
1,2010,Accompanying Medical Services,99.9
1,2010,Transport,126.7
1,2010,Procurement of Vehicles,106.6
1,2010,Cars,106.3
1,2010,Bycicles,127.2
1,2010,Vehicles Use and Maintenance,129.4
1,2010,Reserve Parts,124.3
1,2010,Fuels and Lubricants for Passenger Vehicles,129.1
1,2010,Maintenance of Passenger Vehicles,127.4
1,2010,Other Vehicle Related Services,122.4
1,2010,Transport Services,137.2
1,2010,Rail Passenger Transport,120
1,2010,Road Passenger Transport,139.3
1,2010,Plane Passenger Transport,112.9
1,2010,Communication,110.5
1,2010,Mail Services,128.6
1,2010,Telephone Equipment,106.6
1,2010,Telephone and Other Equipment,110.3
1,2010,Telephone Services,111.7
1,2010,Culture and Recreation,128.1
1,2010,"Audio-Video, Photographic and Computer Equipment",85.6
1,2010,"Sound and Picture Reciving, Capturing and Reproduction Equipment",85
1,2010,Photographic and Film Equipment,67.1
1,2010,Computer Equipment,
1,2010,Sound and Picture Capturing Medium,93.7
1,2010,"Audio-Visual, Photographic and Computer Equipment Maintenance",110.9
1,2010,Grearer Lasting Goods for Culture and Recreation,82.3
1,2010,Musical Instruments,82.3
1,2010,"Other Recreational, Garden and Pet-related Equipment",140.6
1,2010,"Toys, Games and Hobbies",156.6
1,2010,"Garden, Seedling and Flower",124.3
1,2010,Pets and Pet-related Means and Services,
1,2010,Vet and Other Pet Services,
1,2010,Cultural and Recreational Services,140.7
1,2010,Recreational Services,110.4
1,2010,Cultural Services,144.9
1,2010,"Newspaper, Books and Office Equipment",136
1,2010,Books,165.8
1,2010,Newspapers and Magazines,114.7
1,2010,Office Equipments,126
1,2010,Education,124.6
1,2010,Highschool Education,133.9
1,2010,Higher Education,123.4
1,2010,Other Types of Education,117.6
1,2010,Restaurants and Hotels,127.7
1,2010,"Restaurants, Cafes and Canteens",128.7
1,2010,Restaurants and Cafes,128.7
1,2010,Accommodation Services,129.8
1,2010,Accommodation,131
1,2010,Other Personal Items and Other Services,121.6
1,2010,Personal Care,120.2
1,2010,Cosmetic and Hairdresser Services,114.1
1,2010,Personal Care Electrical Equipment,96.4
1,2010,Other Personal Care Items,123.5
1,2010,Personal Items,132.1
1,2010,Jewelry and Watches,145
1,2010,Other Personal Items,126.7
1,2010,Social Security,155.9
1,2010,Insurance,109.9
1,2010,Dwelling Insurance,117.9
1,2010,Vehicle Insurance,105.7
1,2010,Financial Services,137.2
1,2010,Other Financial Services,137.2
1,2010,Other Services,111.3
1,2011,Total,146.2
1,2011,Food and Non-alcoholic Drinks,154.9
1,2011,Food,156.9
1,2011,Bread and Cereal,167.4
1,2011,Meat,134.2
1,2011,Fish,134.8
1,2011,"Milk, Cheese and Eggs",161.9
1,2011,Oils and Fats,167.2
1,2011,Fruit,144.7
1,2011,Vegetables,209.8
1,2011,"Sugar, Jam, Honey and Chocolate",139.2
1,2011,Other Eatable Prducts,145.3
1,2011,Non-alcoholic Drinks,137.3
1,2011,"Coffee, Tea and Cocoa",155.8
1,2011,"Mineral Water, Non-alcoholic Drinks and Juices",124.6
1,2011,"Alcoholic Drinks, Tobacco and Narcotics",207.7
1,2011,Alcoholic Drinks,168.7
1,2011,Strong Alcoholic Drinks,152.4
1,2011,Wine,166.2
1,2011,Beer,174.5
1,2011,Tobacco,221.9
1,2011,Clothing and Footwear,129.4
1,2011,Clothing,130.2
1,2011,Clothing Material,111.3
1,2011,Garments,130.8
1,2011,Other Garments,114.2
1,2011,Clothing Maintenance,124.6
1,2011,Footwear,127.9
1,2011,Footwear,127.8
1,2011,Footwear Maintenance,133.4
1,2011,"Housing, Water, Energy, Gas and Other Fuels",148.6
1,2011,Real Rent,124.6
1,2011,Rent,124.6
1,2011,Apartment Maintenance,130.7
1,2011,Materials for Apartment Maintenance,132.6
1,2011,Apartment Maintenance Services,128.7
1,2011,Waterworks and Other Housing Services,162.3
1,2011,Water Supply,174.5
1,2011,Garbage Collection,128.5
1,2011,Waste Water Drainage,176.6
1,2011,"Energy, Gas and Other Fuels",151
1,2011,Hosehold Electric Energy,148.2
1,2011,Gas,163.4
1,2011,Liquid Fuels,146.4
1,2011,Solid Fuels,142.5
1,2011,Distric Heating,207.3
1,2011,Household Equipment and Maintenance,125
1,2011,"Furniture, Carpets and Other Rugs",117.6
1,2011,"Furniture, Lightning and Decorative Ornaments",113.7
1,2011,Carpets and Other Floor Rugs,139.2
1,2011,Textile for Household Use,113.1
1,2011,Household Appliances,121
1,2011,Big Household Appliances,120.4
1,2011,Small Electrical Appliances,106.2
1,2011,Household Appliances Maintenance,134.9
1,2011,Dishes and Cutlery,136.4
1,2011,Tools and Other Equipment for House and Garden,112.6
1,2011,Bigger House and Garden Tools and Equipment,112.7
1,2011,Small Tools and Accessories,114.5
1,2011,Funds and Services for Ongoing Maintenance of Dwelling,130.2
1,2011,Dwelling Maintenance Funds,129.6
1,2011,Dwelling Maintenance Services,147.1
1,2011,Health,134
1,2011,Medication and Medical Equipment,141.7
1,2011,Medication,141.5
1,2011,Other Medical Products,160.5
1,2011,Therapeutic Products and Equipment,
1,2011,Non-hospital Health Services,118.7
1,2011,Medical Services,130.4
1,2011,Dentist Services,119.2
1,2011,Accompanying Medical Services,104
1,2011,Transport,141.1
1,2011,Procurement of Vehicles,113.1
1,2011,Cars,112.4
1,2011,Bycicles,147.3
1,2011,Vehicles Use and Maintenance,146.7
1,2011,Reserve Parts,137.4
1,2011,Fuels and Lubricants for Passenger Vehicles,146.9
1,2011,Maintenance of Passenger Vehicles,143.4
1,2011,Other Vehicle Related Services,144
1,2011,Transport Services,149.5
1,2011,Rail Passenger Transport,140
1,2011,Road Passenger Transport,151.7
1,2011,Plane Passenger Transport,123.3
1,2011,Communication,110.8
1,2011,Mail Services,128.6
1,2011,Telephone Equipment,115.6
1,2011,Telephone and Other Equipment,110.1
1,2011,Telephone Services,111.7
1,2011,Culture and Recreation,137.5
1,2011,"Audio-Video, Photographic and Computer Equipment",87.8
1,2011,"Sound and Picture Reciving, Capturing and Reproduction Equipment",90.2
1,2011,Photographic and Film Equipment,63.9
1,2011,Computer Equipment,
1,2011,Sound and Picture Capturing Medium,86.3
1,2011,"Audio-Visual, Photographic and Computer Equipment Maintenance",124.6
1,2011,Grearer Lasting Goods for Culture and Recreation,75.4
1,2011,Musical Instruments,75.4
1,2011,"Other Recreational, Garden and Pet-related Equipment",156.2
1,2011,"Toys, Games and Hobbies",175.2
1,2011,Camping and Sport Equipment,
1,2011,"Garden, Seedling and Flower",138.7
1,2011,Pets and Pet-related Means and Services,
1,2011,Vet and Other Pet Services,
1,2011,Cultural and Recreational Services,158.7
1,2011,Recreational Services,120.6
1,2011,Cultural Services,164.1
1,2011,"Newspaper, Books and Office Equipment",142.8
1,2011,Books,175.5
1,2011,Newspapers and Magazines,114.7
1,2011,Office Equipments,147.7
1,2011,Education,140.1
1,2011,Highschool Education,137.7
1,2011,Higher Education,146.1
1,2011,Other Types of Education,125.3
1,2011,Restaurants and Hotels,135.7
1,2011,"Restaurants, Cafes and Canteens",138
1,2011,Restaurants and Cafes,138
1,2011,Accommodation Services,128.9
1,2011,Accommodation,131.7
1,2011,Other Personal Items and Other Services,132.6
1,2011,Personal Care,132
1,2011,Cosmetic and Hairdresser Services,124
1,2011,Personal Care Electrical Equipment,101.5
1,2011,Other Personal Care Items,136.5
1,2011,Personal Items,151.7
1,2011,Jewelry and Watches,196.8
1,2011,Other Personal Items,130.8
1,2011,Social Security,173.7
1,2011,Insurance,110.9
1,2011,Dwelling Insurance,117.9
1,2011,Vehicle Insurance,107.1
1,2011,Financial Services,143.3
1,2011,Other Financial Services,143.3
1,2011,Other Services,130.6
1,2012,Total,154.4
1,2012,Food and Non-alcoholic Drinks,160.4
1,2012,Food,161.4
1,2012,Bread and Cereal,183.5
1,2012,Meat,141.4
1,2012,Fish,151.4
1,2012,"Milk, Cheese and Eggs",169.1
1,2012,Oils and Fats,157.1
1,2012,Fruit,128.8
1,2012,Vegetables,176.6
1,2012,"Sugar, Jam, Honey and Chocolate",153.2
1,2012,Other Eatable Prducts,152.1
1,2012,Non-alcoholic Drinks,150.2
1,2012,"Coffee, Tea and Cocoa",180.4
1,2012,"Mineral Water, Non-alcoholic Drinks and Juices",130.8
1,2012,"Alcoholic Drinks, Tobacco and Narcotics",223.6
1,2012,Alcoholic Drinks,180.4
1,2012,Strong Alcoholic Drinks,161.1
1,2012,Wine,179.9
1,2012,Beer,186.3
1,2012,Tobacco,239.5
1,2012,Clothing and Footwear,133.4
1,2012,Clothing,135.6
1,2012,Clothing Material,124
1,2012,Garments,135.8
1,2012,Other Garments,131.3
1,2012,Clothing Maintenance,133.2
1,2012,Footwear,130.1
1,2012,Footwear,130
1,2012,Footwear Maintenance,140.2
1,2012,"Housing, Water, Energy, Gas and Other Fuels",163.2
1,2012,Real Rent,124.2
1,2012,Rent,124.2
1,2012,Apartment Maintenance,147.2
1,2012,Materials for Apartment Maintenance,147.5
1,2012,Apartment Maintenance Services,145.9
1,2012,Waterworks and Other Housing Services,181.9
1,2012,Water Supply,197
1,2012,Garbage Collection,136.1
1,2012,Waste Water Drainage,232.7
1,2012,"Energy, Gas and Other Fuels",166.5
1,2012,Hosehold Electric Energy,168.2
1,2012,Gas,179.8
1,2012,Liquid Fuels,145.5
1,2012,Solid Fuels,149
1,2012,Distric Heating,226.1
1,2012,Household Equipment and Maintenance,135.3
1,2012,"Furniture, Carpets and Other Rugs",119.6
1,2012,"Furniture, Lightning and Decorative Ornaments",114.8
1,2012,Carpets and Other Floor Rugs,146.7
1,2012,"Repair of Furniture, Lighting and Floor Coverings",
1,2012,Textile for Household Use,125.9
1,2012,Household Appliances,124.5
1,2012,Big Household Appliances,123.8
1,2012,Small Electrical Appliances,107.4
1,2012,Household Appliances Maintenance,142.5
