Use,Year,EnergySources,Amount
Export,2010,Wood Briquettes (t),0.0
Export,2010,Wood Pellets (t),0.0
Export,2010,Charcoal (t),0.0
Export,2010,Biogas (thousands of m3),0.0
Inventory Balance,2010,Total Electrical Energy (GWh),0.0
Inventory Balance,2010,Anthracite (t),1197.0
Inventory Balance,2010,Other Bituminous Coal (t),-6378.0
Inventory Balance,2010,"Sub-bituminous Coal, Brown Coal and Lignite (t)",-654319.0
Inventory Balance,2010,Coal Briquette (t),-16.0
Inventory Balance,2010,"Briquette of Brown Coal and Lignite, Dried Lignite (t)",-18676.0
Inventory Balance,2010,Coal Tar (t),-1.0
Inventory Balance,2010,Coke (t),11036.0
Inventory Balance,2010,Blast Furnace Gas (thousands of m3),0.0
Inventory Balance,2010,Crude Oil (t),108341.0
Inventory Balance,2010,Natural Gas Liquids (t),656.0
Inventory Balance,2010,Refined Raw Material (t),2203.0
Inventory Balance,2010,Additives (t),-19.0
Inventory Balance,2010,Other Hydrocarbons (t),0.0
Inventory Balance,2010,Refinery Gas (t),0.0
Inventory Balance,2010,LPG (t),-3015.0
Inventory Balance,2010,Oil (t),6235.0
Inventory Balance,2010,Unleaded Motor Gasoline (t),-11222.0
Inventory Balance,2010,Lead Gasoline (t),22272.0
Inventory Balance,2010,Plane Gasoline (t),-113.0
Inventory Balance,2010,Kerosene Type Jet Engine Fuel (t),710.0
Inventory Balance,2010,Other Kerosene (t),0.0
Inventory Balance,2010,Diesel (t),8751.0
Inventory Balance,2010,Fuel Oil and Other Gas Oils (t),-930.0
Inventory Balance,2010,Mazut S≥1% (t),14170.0
Inventory Balance,2010,Mazut S<1% (t),-5812.0
Inventory Balance,2010,Special Gasoline (t),345.0
Inventory Balance,2010,Lubricants (t),197.0
Inventory Balance,2010,Bitumen (t),549.0
Inventory Balance,2010,Paraffin wax (t),-49.0
Inventory Balance,2010,Petroleum Coke (t),7967.0
Inventory Balance,2010,Other Petroleum Products (t),-100577.0
Inventory Balance,2010,Natural Gas (thousands of m3),-17343.0
Inventory Balance,2010,Firewood (t),-22466.0
Inventory Balance,2010,Wood Residue and Wood Chips (t),0.0
Inventory Balance,2010,Wood Briquettes (t),0.0
Inventory Balance,2010,Wood Pellets (t),0.0
Inventory Balance,2010,Charcoal (t),0.0
Inventory Balance,2010,Biogas (thousands of m3),0.0
Total Energy Available,2010,Total Electrical Energy (GWh),-297.0
Total Energy Available,2010,Anthracite (t),14819.0
Total Energy Available,2010,Other Bituminous Coal (t),131974.0
Total Energy Available,2010,"Sub-bituminous Coal, Brown Coal and Lignite (t)",37531772.0
Total Energy Available,2010,Coal Briquette (t),1660.0
Total Energy Available,2010,"Briquette of Brown Coal and Lignite, Dried Lignite (t)",-17946.0
Total Energy Available,2010,Coal Tar (t),7.0
Total Energy Available,2010,Coke (t),788358.0
Total Energy Available,2010,Blast Furnace Gas (thousands of m3),0.0
Total Energy Available,2010,Crude Oil (t),2856846.0
Total Energy Available,2010,Natural Gas Liquids (t),13716.0
Total Energy Available,2010,Refined Raw Material (t),18247.0
Total Energy Available,2010,Additives (t),6320.0
Total Energy Available,2010,Other Hydrocarbons (t),0.0
Total Energy Available,2010,Refinery Gas (t),0.0
Total Energy Available,2010,LPG (t),243433.0
Total Energy Available,2010,Oil (t),248385.0
Total Energy Available,2010,Unleaded Motor Gasoline (t),-11222.0
Total Energy Available,2010,Lead Gasoline (t),22272.0
Total Energy Available,2010,Plane Gasoline (t),507.0
Total Energy Available,2010,Kerosene Type Jet Engine Fuel (t),-28358.0
Total Energy Available,2010,Other Kerosene (t),134.0
Total Energy Available,2010,Diesel (t),576606.0
Total Energy Available,2010,Fuel Oil and Other Gas Oils (t),-459.0
Total Energy Available,2010,Mazut S≥1% (t),-99835.0
Total Energy Available,2010,Mazut S<1% (t),-25859.0
Total Energy Available,2010,Special Gasoline (t),5206.0
Total Energy Available,2010,Lubricants (t),34765.0
Total Energy Available,2010,Bitumen (t),-30666.0
Total Energy Available,2010,Paraffin wax (t),4464.0
Total Energy Available,2010,Petroleum Coke (t),86927.0
Total Energy Available,2010,Other Petroleum Products (t),-200773.0
Total Energy Available,2010,Natural Gas (thousands of m3),2337593.0
Total Energy Available,2010,Firewood (t),2790363.0
Total Energy Available,2010,Wood Residue and Wood Chips (t),0.0
Total Energy Available,2010,Wood Briquettes (t),0.0
Total Energy Available,2010,Wood Pellets (t),0.0
Total Energy Available,2010,Charcoal (t),0.0
Total Energy Available,2010,Biogas (thousands of m3),0.0
Statistical Difference,2010,Total Electrical Energy (GWh),0.0
Statistical Difference,2010,Anthracite (t),0.0
Statistical Difference,2010,Other Bituminous Coal (t),0.0
Statistical Difference,2010,"Sub-bituminous Coal, Brown Coal and Lignite (t)",0.0
Statistical Difference,2010,Coal Briquette (t),0.0
Statistical Difference,2010,"Briquette of Brown Coal and Lignite, Dried Lignite (t)",0.0
Statistical Difference,2010,Coal Tar (t),0.0
Statistical Difference,2010,Coke (t),0.0
Statistical Difference,2010,Blast Furnace Gas (thousands of m3),0.0
Statistical Difference,2010,Crude Oil (t),0.0
Statistical Difference,2010,Natural Gas Liquids (t),0.0
Statistical Difference,2010,Refined Raw Material (t),0.0
Statistical Difference,2010,Additives (t),0.0
Statistical Difference,2010,Other Hydrocarbons (t),0.0
Statistical Difference,2010,Refinery Gas (t),0.0
Statistical Difference,2010,LPG (t),0.0
Statistical Difference,2010,Oil (t),0.0
Statistical Difference,2010,Unleaded Motor Gasoline (t),0.0
Statistical Difference,2010,Lead Gasoline (t),0.0
Statistical Difference,2010,Plane Gasoline (t),0.0
Statistical Difference,2010,Kerosene Type Jet Engine Fuel (t),0.0
Statistical Difference,2010,Other Kerosene (t),0.0
Statistical Difference,2010,Diesel (t),0.0
Statistical Difference,2010,Fuel Oil and Other Gas Oils (t),0.0
Statistical Difference,2010,Mazut S≥1% (t),0.0
Statistical Difference,2010,Mazut S<1% (t),0.0
Statistical Difference,2010,Special Gasoline (t),0.0
Statistical Difference,2010,Lubricants (t),0.0
Statistical Difference,2010,Bitumen (t),0.0
Statistical Difference,2010,Paraffin wax (t),0.0
Statistical Difference,2010,Petroleum Coke (t),0.0
Statistical Difference,2010,Other Petroleum Products (t),0.0
Statistical Difference,2010,Natural Gas (thousands of m3),0.0
Statistical Difference,2010,Firewood (t),0.0
Statistical Difference,2010,Wood Residue and Wood Chips (t),0.0
Statistical Difference,2010,Wood Briquettes (t),0.0
Statistical Difference,2010,Wood Pellets (t),0.0
Statistical Difference,2010,Charcoal (t),0.0
Statistical Difference,2010,Biogas (thousands of m3),0.0
Energy Production Cost,2010,Total Electrical Energy (GWh),0.0
Energy Production Cost,2010,Anthracite (t),0.0
Energy Production Cost,2010,Other Bituminous Coal (t),3100.0
Energy Production Cost,2010,"Sub-bituminous Coal, Brown Coal and Lignite (t)",36293377.0
Energy Production Cost,2010,Coal Briquette (t),0.0
Energy Production Cost,2010,"Briquette of Brown Coal and Lignite, Dried Lignite (t)",90585.0
Energy Production Cost,2010,Coal Tar (t),0.0
Energy Production Cost,2010,Coke (t),597703.0
Energy Production Cost,2010,Blast Furnace Gas (thousands of m3),891474.0
Energy Production Cost,2010,Crude Oil (t),2856846.0
Energy Production Cost,2010,Natural Gas Liquids (t),13716.0
Energy Production Cost,2010,Refined Raw Material (t),23634.0
Energy Production Cost,2010,Additives (t),18839.0
Energy Production Cost,2010,Other Hydrocarbons (t),0.0
Energy Production Cost,2010,Refinery Gas (t),0.0
Energy Production Cost,2010,LPG (t),4907.0
Energy Production Cost,2010,Oil (t),30173.0
Energy Production Cost,2010,Unleaded Motor Gasoline (t),0.0
Energy Production Cost,2010,Lead Gasoline (t),0.0
Energy Production Cost,2010,Plane Gasoline (t),0.0
Energy Production Cost,2010,Kerosene Type Jet Engine Fuel (t),0.0
Energy Production Cost,2010,Other Kerosene (t),0.0
Energy Production Cost,2010,Diesel (t),21.0
Energy Production Cost,2010,Fuel Oil and Other Gas Oils (t),18713.0
Energy Production Cost,2010,Mazut S≥1% (t),247886.0
Energy Production Cost,2010,Mazut S<1% (t),17137.0
Energy Production Cost,2010,Special Gasoline (t),0.0
Energy Production Cost,2010,Lubricants (t),0.0
Energy Production Cost,2010,Bitumen (t),0.0
Energy Production Cost,2010,Paraffin wax (t),0.0
Energy Production Cost,2010,Petroleum Coke (t),33005.0
Energy Production Cost,2010,Other Petroleum Products (t),3380.0
Energy Production Cost,2010,Natural Gas (thousands of m3),805480.0
Energy Production Cost,2010,Firewood (t),2339.0
Energy Production Cost,2010,Wood Residue and Wood Chips (t),0.0
Energy Production Cost,2010,Wood Briquettes (t),0.0
Energy Production Cost,2010,Wood Pellets (t),0.0
Energy Production Cost,2010,Charcoal (t),0.0
Energy Production Cost,2010,Biogas (thousands of m3),0.0
Generation of Energy by Transformation,2010,Total Electrical Energy (GWh),25532.0
Generation of Energy by Transformation,2010,Anthracite (t),0.0
Generation of Energy by Transformation,2010,Other Bituminous Coal (t),0.0
Generation of Energy by Transformation,2010,"Sub-bituminous Coal, Brown Coal and Lignite (t)",0.0
Generation of Energy by Transformation,2010,Coal Briquette (t),0.0
Generation of Energy by Transformation,2010,"Briquette of Brown Coal and Lignite, Dried Lignite (t)",556867.0
Generation of Energy by Transformation,2010,Coal Tar (t),0.0
Generation of Energy by Transformation,2010,Coke (t),0.0
Generation of Energy by Transformation,2010,Blast Furnace Gas (thousands of m3),2173421.0
Generation of Energy by Transformation,2010,Crude Oil (t),0.0
Generation of Energy by Transformation,2010,Natural Gas Liquids (t),0.0
Generation of Energy by Transformation,2010,Refined Raw Material (t),0.0
Generation of Energy by Transformation,2010,Additives (t),12519.0
Generation of Energy by Transformation,2010,Other Hydrocarbons (t),0.0
Generation of Energy by Transformation,2010,Refinery Gas (t),64160.0
Generation of Energy by Transformation,2010,LPG (t),133894.0
Generation of Energy by Transformation,2010,Oil (t),134382.0
Generation of Energy by Transformation,2010,Unleaded Motor Gasoline (t),367640.0
Generation of Energy by Transformation,2010,Lead Gasoline (t),105036.0
Generation of Energy by Transformation,2010,Plane Gasoline (t),0.0
Generation of Energy by Transformation,2010,Kerosene Type Jet Engine Fuel (t),68230.0
Generation of Energy by Transformation,2010,Other Kerosene (t),0.0
Generation of Energy by Transformation,2010,Diesel (t),840762.0
Generation of Energy by Transformation,2010,Fuel Oil and Other Gas Oils (t),78743.0
Generation of Energy by Transformation,2010,Mazut S≥1% (t),621955.0
Generation of Energy by Transformation,2010,Mazut S<1% (t),74322.0
Generation of Energy by Transformation,2010,Special Gasoline (t),0.0
Generation of Energy by Transformation,2010,Lubricants (t),28037.0
Generation of Energy by Transformation,2010,Bitumen (t),155019.0
Generation of Energy by Transformation,2010,Paraffin wax (t),0.0
Generation of Energy by Transformation,2010,Petroleum Coke (t),33005.0
Generation of Energy by Transformation,2010,Other Petroleum Products (t),236750.0
Generation of Energy by Transformation,2010,Natural Gas (thousands of m3),0.0
Generation of Energy by Transformation,2010,Firewood (t),0.0
Generation of Energy by Transformation,2010,Wood Residue and Wood Chips (t),0.0
Generation of Energy by Transformation,2010,Wood Briquettes (t),0.0
Generation of Energy by Transformation,2010,Wood Pellets (t),0.0
Generation of Energy by Transformation,2010,Charcoal (t),0.0
Generation of Energy by Transformation,2010,Biogas (thousands of m3),0.0
Exchange,2010,Total Electrical Energy (GWh),12571.0
Exchange,2010,Anthracite (t),0.0
Exchange,2010,Other Bituminous Coal (t),0.0
Exchange,2010,"Sub-bituminous Coal, Brown Coal and Lignite (t)",0.0
Exchange,2010,Coal Briquette (t),0.0
Exchange,2010,"Briquette of Brown Coal and Lignite, Dried Lignite (t)",0.0
Exchange,2010,Coal Tar (t),0.0
Exchange,2010,Coke (t),0.0
Exchange,2010,Blast Furnace Gas (thousands of m3),0.0
Exchange,2010,Crude Oil (t),0.0
Exchange,2010,Natural Gas Liquids (t),0.0
Exchange,2010,Refined Raw Material (t),0.0
Exchange,2010,Additives (t),0.0
Exchange,2010,Other Hydrocarbons (t),0.0
Exchange,2010,Refinery Gas (t),0.0
Exchange,2010,LPG (t),0.0
Exchange,2010,Oil (t),0.0
Exchange,2010,Unleaded Motor Gasoline (t),0.0
Exchange,2010,Lead Gasoline (t),0.0
Exchange,2010,Plane Gasoline (t),0.0
Exchange,2010,Kerosene Type Jet Engine Fuel (t),0.0
Exchange,2010,Other Kerosene (t),0.0
Exchange,2010,Diesel (t),0.0
Exchange,2010,Fuel Oil and Other Gas Oils (t),0.0
Exchange,2010,Mazut S≥1% (t),0.0
Exchange,2010,Mazut S<1% (t),0.0
Exchange,2010,Special Gasoline (t),0.0
Exchange,2010,Lubricants (t),0.0
Exchange,2010,Bitumen (t),0.0
Exchange,2010,Paraffin wax (t),0.0
Exchange,2010,Petroleum Coke (t),0.0
Exchange,2010,Other Petroleum Products (t),0.0
Exchange,2010,Natural Gas (thousands of m3),0.0
Exchange,2010,Firewood (t),0.0
Exchange,2010,Wood Residue and Wood Chips (t),0.0
Exchange,2010,Wood Briquettes (t),0.0
Exchange,2010,Wood Pellets (t),0.0
Exchange,2010,Charcoal (t),0.0
Exchange,2010,Biogas (thousands of m3),0.0
Exchanged Products,2010,Total Electrical Energy (GWh),12571.0
Exchanged Products,2010,Anthracite (t),0.0
Exchanged Products,2010,Other Bituminous Coal (t),0.0
Exchanged Products,2010,"Sub-bituminous Coal, Brown Coal and Lignite (t)",0.0
Exchanged Products,2010,Coal Briquette (t),0.0
Exchanged Products,2010,"Briquette of Brown Coal and Lignite, Dried Lignite (t)",0.0
Exchanged Products,2010,Coal Tar (t),0.0
Exchanged Products,2010,Coke (t),0.0
Exchanged Products,2010,Blast Furnace Gas (thousands of m3),0.0
Exchanged Products,2010,Crude Oil (t),0.0
Exchanged Products,2010,Natural Gas Liquids (t),0.0
Exchanged Products,2010,Refined Raw Material (t),5387.0
Exchanged Products,2010,Additives (t),0.0
Exchanged Products,2010,Other Hydrocarbons (t),0.0
Exchanged Products,2010,Refinery Gas (t),0.0
Exchanged Products,2010,LPG (t),0.0
Exchanged Products,2010,Oil (t),0.0
Exchanged Products,2010,Unleaded Motor Gasoline (t),0.0
Exchanged Products,2010,Lead Gasoline (t),0.0
Exchanged Products,2010,Plane Gasoline (t),0.0
Exchanged Products,2010,Kerosene Type Jet Engine Fuel (t),0.0
Exchanged Products,2010,Other Kerosene (t),0.0
Exchanged Products,2010,Diesel (t),0.0
Exchanged Products,2010,Fuel Oil and Other Gas Oils (t),0.0
Exchanged Products,2010,Mazut S≥1% (t),0.0
Exchanged Products,2010,Mazut S<1% (t),0.0
Exchanged Products,2010,Special Gasoline (t),-263.0
Exchanged Products,2010,Lubricants (t),0.0
Exchanged Products,2010,Bitumen (t),0.0
Exchanged Products,2010,Paraffin wax (t),0.0
Exchanged Products,2010,Petroleum Coke (t),0.0
Exchanged Products,2010,Other Petroleum Products (t),-5124.0
Exchanged Products,2010,Natural Gas (thousands of m3),0.0
Exchanged Products,2010,Firewood (t),0.0
Exchanged Products,2010,Wood Residue and Wood Chips (t),0.0
Exchanged Products,2010,Wood Briquettes (t),0.0
Exchanged Products,2010,Wood Pellets (t),0.0
Exchanged Products,2010,Charcoal (t),0.0
Exchanged Products,2010,Biogas (thousands of m3),0.0
Internal Product Exchange,2010,Total Electrical Energy (GWh),0.0
Internal Product Exchange,2010,Anthracite (t),0.0
Internal Product Exchange,2010,Other Bituminous Coal (t),0.0
Internal Product Exchange,2010,"Sub-bituminous Coal, Brown Coal and Lignite (t)",0.0
Internal Product Exchange,2010,Coal Briquette (t),0.0
Internal Product Exchange,2010,"Briquette of Brown Coal and Lignite, Dried Lignite (t)",0.0
Internal Product Exchange,2010,Coal Tar (t),0.0
Internal Product Exchange,2010,Coke (t),0.0
Internal Product Exchange,2010,Blast Furnace Gas (thousands of m3),0.0
Internal Product Exchange,2010,Crude Oil (t),0.0
Internal Product Exchange,2010,Natural Gas Liquids (t),0.0
Internal Product Exchange,2010,Refined Raw Material (t),0.0
Internal Product Exchange,2010,Additives (t),0.0
Internal Product Exchange,2010,Other Hydrocarbons (t),0.0
Internal Product Exchange,2010,Refinery Gas (t),0.0
Internal Product Exchange,2010,LPG (t),0.0
Internal Product Exchange,2010,Oil (t),0.0
Internal Product Exchange,2010,Unleaded Motor Gasoline (t),4466.0
Internal Product Exchange,2010,Lead Gasoline (t),-4466.0
Internal Product Exchange,2010,Plane Gasoline (t),0.0
Internal Product Exchange,2010,Kerosene Type Jet Engine Fuel (t),0.0
Internal Product Exchange,2010,Other Kerosene (t),0.0
Internal Product Exchange,2010,Diesel (t),0.0
Internal Product Exchange,2010,Fuel Oil and Other Gas Oils (t),0.0
Internal Product Exchange,2010,Mazut S≥1% (t),0.0
Internal Product Exchange,2010,Mazut S<1% (t),0.0
Internal Product Exchange,2010,Special Gasoline (t),0.0
Internal Product Exchange,2010,Lubricants (t),0.0
Internal Product Exchange,2010,Bitumen (t),0.0
Internal Product Exchange,2010,Paraffin wax (t),0.0
Internal Product Exchange,2010,Petroleum Coke (t),0.0
Internal Product Exchange,2010,Other Petroleum Products (t),0.0
Internal Product Exchange,2010,Natural Gas (thousands of m3),0.0
Internal Product Exchange,2010,Firewood (t),0.0
Internal Product Exchange,2010,Wood Residue and Wood Chips (t),0.0
Internal Product Exchange,2010,Wood Briquettes (t),0.0
Internal Product Exchange,2010,Wood Pellets (t),0.0
Internal Product Exchange,2010,Charcoal (t),0.0
Internal Product Exchange,2010,Biogas (thousands of m3),0.0
Returned from Petrochemistry,2010,Total Electrical Energy (GWh),0.0
Returned from Petrochemistry,2010,Anthracite (t),0.0
Returned from Petrochemistry,2010,Other Bituminous Coal (t),0.0
Returned from Petrochemistry,2010,"Sub-bituminous Coal, Brown Coal and Lignite (t)",0.0
Returned from Petrochemistry,2010,Coal Briquette (t),0.0
Returned from Petrochemistry,2010,"Briquette of Brown Coal and Lignite, Dried Lignite (t)",0.0
Returned from Petrochemistry,2010,Coal Tar (t),0.0
Returned from Petrochemistry,2010,Coke (t),0.0
Returned from Petrochemistry,2010,Blast Furnace Gas (thousands of m3),0.0
Returned from Petrochemistry,2010,Crude Oil (t),0.0
Returned from Petrochemistry,2010,Natural Gas Liquids (t),0.0
Returned from Petrochemistry,2010,Refined Raw Material (t),0.0
Returned from Petrochemistry,2010,Additives (t),0.0
Returned from Petrochemistry,2010,Other Hydrocarbons (t),0.0
Returned from Petrochemistry,2010,Refinery Gas (t),0.0
Returned from Petrochemistry,2010,LPG (t),0.0
Returned from Petrochemistry,2010,Oil (t),0.0
Returned from Petrochemistry,2010,Unleaded Motor Gasoline (t),0.0
Returned from Petrochemistry,2010,Lead Gasoline (t),0.0
Returned from Petrochemistry,2010,Plane Gasoline (t),0.0
Returned from Petrochemistry,2010,Kerosene Type Jet Engine Fuel (t),0.0
Returned from Petrochemistry,2010,Other Kerosene (t),0.0
Returned from Petrochemistry,2010,Diesel (t),0.0
Returned from Petrochemistry,2010,Fuel Oil and Other Gas Oils (t),0.0
Returned from Petrochemistry,2010,Mazut S≥1% (t),0.0
Returned from Petrochemistry,2010,Mazut S<1% (t),0.0
Returned from Petrochemistry,2010,Special Gasoline (t),0.0
Returned from Petrochemistry,2010,Lubricants (t),0.0
Returned from Petrochemistry,2010,Bitumen (t),0.0
Returned from Petrochemistry,2010,Paraffin wax (t),0.0
Returned from Petrochemistry,2010,Petroleum Coke (t),0.0
Returned from Petrochemistry,2010,Other Petroleum Products (t),0.0
Returned from Petrochemistry,2010,Natural Gas (thousands of m3),0.0
Returned from Petrochemistry,2010,Firewood (t),0.0
Returned from Petrochemistry,2010,Wood Residue and Wood Chips (t),0.0
Returned from Petrochemistry,2010,Wood Briquettes (t),0.0
Returned from Petrochemistry,2010,Wood Pellets (t),0.0
Returned from Petrochemistry,2010,Charcoal (t),0.0
Returned from Petrochemistry,2010,Biogas (thousands of m3),0.0
Own Consumption in Energy Sector,2010,Total Electrical Energy (GWh),4011.0
Own Consumption in Energy Sector,2010,Anthracite (t),0.0
Own Consumption in Energy Sector,2010,Other Bituminous Coal (t),0.0
Own Consumption in Energy Sector,2010,"Sub-bituminous Coal, Brown Coal and Lignite (t)",0.0
Own Consumption in Energy Sector,2010,Coal Briquette (t),0.0
Own Consumption in Energy Sector,2010,"Briquette of Brown Coal and Lignite, Dried Lignite (t)",0.0
Own Consumption in Energy Sector,2010,Coal Tar (t),0.0
Own Consumption in Energy Sector,2010,Coke (t),0.0
Own Consumption in Energy Sector,2010,Blast Furnace Gas (thousands of m3),0.0
Own Consumption in Energy Sector,2010,Crude Oil (t),0.0
Own Consumption in Energy Sector,2010,Natural Gas Liquids (t),0.0
Own Consumption in Energy Sector,2010,Refined Raw Material (t),0.0
Own Consumption in Energy Sector,2010,Additives (t),0.0
Own Consumption in Energy Sector,2010,Other Hydrocarbons (t),0.0
Own Consumption in Energy Sector,2010,Refinery Gas (t),64160.0
Own Consumption in Energy Sector,2010,LPG (t),6848.0
Own Consumption in Energy Sector,2010,Oil (t),0.0
Own Consumption in Energy Sector,2010,Unleaded Motor Gasoline (t),0.0
Own Consumption in Energy Sector,2010,Lead Gasoline (t),0.0
Own Consumption in Energy Sector,2010,Plane Gasoline (t),0.0
Own Consumption in Energy Sector,2010,Kerosene Type Jet Engine Fuel (t),0.0
Own Consumption in Energy Sector,2010,Other Kerosene (t),0.0
Own Consumption in Energy Sector,2010,Diesel (t),0.0
Own Consumption in Energy Sector,2010,Fuel Oil and Other Gas Oils (t),5995.0
Own Consumption in Energy Sector,2010,Mazut S≥1% (t),113645.0
Own Consumption in Energy Sector,2010,Mazut S<1% (t),0.0
Own Consumption in Energy Sector,2010,Special Gasoline (t),0.0
Own Consumption in Energy Sector,2010,Lubricants (t),0.0
Own Consumption in Energy Sector,2010,Bitumen (t),0.0
Own Consumption in Energy Sector,2010,Paraffin wax (t),0.0
Own Consumption in Energy Sector,2010,Petroleum Coke (t),0.0
Own Consumption in Energy Sector,2010,Other Petroleum Products (t),561.0
Own Consumption in Energy Sector,2010,Natural Gas (thousands of m3),60274.0
Own Consumption in Energy Sector,2010,Firewood (t),0.0
Own Consumption in Energy Sector,2010,Wood Residue and Wood Chips (t),0.0
Own Consumption in Energy Sector,2010,Wood Briquettes (t),0.0
