Year,TransactionType,Amount(mRSD),PctTotal
2008,Production and Import Taxes,524610.4,0.487
2008,Product Taxes,490919.8,0.4558
2008,Value Added Taxes,297490.5,0.2762
2008,Excise Duties,23009.5,0.0214
2008,Import Monopoly Profit,,
2008,"Import Taxes and Duties, Except VAT",87268.6,0.081
2008,General Sales Tax,,
2008,Special Services Tax,,
2008,Sub-compensation of Flat-rate VAT,,
2008,Other Unmentioned Production Taxes,3604.64,0.0033
2008,Fiscal Monopoly Profit,,
2008,Export Duties and Refunds,,
2008,Other Unmentioned Product Taxes,,
2008,Other Production Taxes,33690.62,0.0313
2008,Pollution Taxes,5531.12,0.0051
2008,Use of Fixed Assets Taxes,7661.4,0.0071
2008,Vehicle Registration Taxes,,
2008,Entertainment Taxes,7.6,0.0
2008,"Lottery, Chance Games and Gambling Tax",4758.1,0.0044
2008,Insurance Premiums Taxes,2025.9,0.0019
2008,International Transactions Taxes,,
2008,Other Special Servies Taxes,678.4,0.0006
2008,"Land, Building and Other Real Estate Taxes",16441.5,0.0153
2009,Per Capita Taxes,,
2009,Consumption Expenditure Taxes,,
2009,Non-Corporate Permit Payments,,
2009,International Transactions Taxes,,
2009,Enterprise Ownership Taxes,,
2009,Other Ownership Taxes,,
2009,Gambling Gain Taxes,492.2,0.0005
2009,"Corporate Income or Profit Tax, Including Ownership Profit",30154.3,0.0276
2009,"Individual or Household Income Tax, Includion Ownership Profit",129116.1,0.1182
2009,"Current Income Taxes, Wealth, Etc.",176968.3,0.162
2009,Income Taxes,161569.0,0.1479
2009,Individual or Household Income Tax Other Than Ownership Profit,129116.1,0.1182
2009,Corporate Income or Profit Taxes Other Than Ownership Profit,30154.3,0.0276
2009,Current Capital Taxes,4139.8,0.0038
2009,Ownership Profit Taxes,,
2009,Other Unmentioned Income Taxes,1806.3,0.0017
2009,Other Current Taxes,15399.3,0.0141
2009,Real Contributions from Households for Insurance Other Than Pension Insurance,72288.1,0.0662
2009,"Real Employer Insurance Contributions, Other Than Pension Insurance",66009.1,0.0604
2009,Household insurance supplements other than pension insurance,,
2009,Individual or Household Equity Taxes,,
2009,Capital Taxes,996.6,0.0009
2009,Capital Transfer Taxes,684.6,0.0006
2009,Capital Duties,293.7,0.0003
2009,Other Unmentioned Capital Taxes,18.3,0.0
2009,Imputed Retirement Contributions Carried by Employer,,
2009,Imputed Contributions for Insurance at Expense of Employer Other Than Pension Insurance,,
2009,Real Contributions from Households for Social Security,199546.9,0.1827
2009,Actual Pension Contributions by Households,127258.9,0.1165
2009,Household Social Security Supplements,,
2009,Other Unmentioned Current Taxes,11259.48,0.0103
2009,Net Social Contributions,373921.7,0.3423
2009,Real Employer Social Security Contributions,174374.7,0.1596
2009,Real Employer Retirement Contributions,108365.6,0.0992
2009,Imputed Social Contributions at Expense of Employer,,
2009,Wage Fund Taxes,47.2,0.0
2009,Household Pension Supplement,,
2009,Business and Professional Licenses,183.9,0.0002
2009,Tax Stamps,1458.1,0.0013
2009,Capital and Financial Transactions Taxes,7339.1,0.0067
2009,Import Duties,46749.0,0.0428
2009,"Import Taxes, Except VAT and Import Duties",33676.0,0.0308
2009,Agricultural Products Import Duties,587.6,0.0005
2009,Cash Import Compensation,,
2009,Excise and Consumption Taxes,104845.1,0.096
2009,Excise Duties,33088.4,0.0303
2009,Total,1092365.0,1.0
2009,Tax Receipts,718442.8,0.6577
2009,Production and Import Taxes,540478.0,0.4948
2009,Product Taxes,500369.0,0.4581
2009,Value Added Taxes,296565.7,0.2715
2009,"Import Taxes and Duties, Except VAT",80425.0,0.0736
2009,General Sales Tax,,
2009,Product Taxes Other than VAT and Import Taxes,123378.3,0.1129
2009,International Transactions Taxes,,
2009,Special Services Tax,,
2009,Import Monopoly Profit,,
2009,Pollution Taxes,8331.2,0.0076
2009,Sub-compensation of Flat-rate VAT,,
2009,Other Unmentioned Production Taxes,3453.79,0.0032
2009,Fiscal Monopoly Profit,,
2009,Other Unmentioned Product Taxes,,
2009,Other Production Taxes,40108.93,0.0367
2009,Export Duties and Refunds,,
2009,Use of Fixed Assets Taxes,8382.9,0.0077
2009,Vehicle Registration Taxes,,
2009,Entertainment Taxes,7.0,0.0
2009,"Lottery, Chance Games and Gambling Tax",4462.1,0.0041
2009,Insurance Premiums Taxes,2049.2,0.0019
2009,Other Special Servies Taxes,3217.6,0.0029
2009,General Sales Tax,,
2009,"Land, Building and Other Real Estate Taxes",19710.1,0.018
2010,Other Ownership Taxes,,
2010,Per Capita Taxes,,
2010,Consumption Expenditure Taxes,,
2010,Non-Corporate Permit Payments,,
2010,International Transactions Taxes,,
2010,Enterprise Ownership Taxes,,
2010,Gambling Gain Taxes,432.9,0.0004
2010,Ownership Profit Taxes,,
2010,"Individual or Household Income Tax, Includion Ownership Profit",135597.9,0.1139
2010,"Corporate Income or Profit Tax, Including Ownership Profit",35501.4,0.0298
2010,"Current Income Taxes, Wealth, Etc.",191451.4,0.1608
2010,Income Taxes,173426.5,0.1456
2010,Individual or Household Income Tax Other Than Ownership Profit,135597.9,0.1139
2010,Corporate Income or Profit Taxes Other Than Ownership Profit,35501.4,0.0298
2010,Current Capital Taxes,4647.4,0.0039
2010,Other Unmentioned Income Taxes,1894.4,0.0016
2010,Other Current Taxes,18024.85,0.0151
2010,Real Contributions from Households for Insurance Other Than Pension Insurance,74346.5,0.0624
2010,"Real Employer Insurance Contributions, Other Than Pension Insurance",68060.2,0.0572
2010,Household Pension Supplement,,
2010,Individual or Household Equity Taxes,,
2010,Capital Taxes,997.9,0.0008
2010,Capital Transfer Taxes,708.1,0.0006
2010,Capital Duties,294.1,0.0002
2010,Other Unmentioned Capital Taxes,-4.3,-0.0
2010,Imputed Retirement Contributions Carried by Employer,,
2010,Imputed Contributions for Insurance at Expense of Employer Other Than Pension Insurance,,
2010,Real Contributions from Households for Social Security,214929.6,0.1805
2010,Actual Pension Contributions by Households,140583.1,0.1181
2010,Household Social Security Supplements,,
2010,Other Unmentioned Current Taxes,13377.47,0.0112
2010,Net Social Contributions,405781.3,0.3408
2010,Real Employer Social Security Contributions,190851.7,0.1603
2010,Real Employer Retirement Contributions,122791.5,0.1031
2010,Imputed Social Contributions at Expense of Employer,,
2010,Household insurance supplements other than pension insurance,,
2010,Wage Fund Taxes,18.9,0.0
2010,Business and Professional Licenses,297.6,0.0002
2010,Tax Stamps,1743.6,0.0015
2010,Capital and Financial Transactions Taxes,7269.8,0.0061
2010,Import Duties,43658.4,0.0367
2010,"Import Taxes, Except VAT and Import Duties",39503.7,0.0332
2010,Agricultural Products Import Duties,633.6,0.0005
2010,Excise Duties,38870.1,0.0326
2010,Excise and Consumption Taxes,116309.5,0.0977
2010,General Sales Tax,,
2010,Tax Receipts,785031.7,0.6592
2010,Production and Import Taxes,592582.4,0.4976
2010,Product Taxes,540699.3,0.4541
2010,Value Added Taxes,317528.0,0.2666
2010,"Import Taxes and Duties, Except VAT",83162.0,0.0698
2010,International Transactions Taxes,,
2010,Total,1190813.0,1.0
2010,Product Taxes Other than VAT and Import Taxes,140009.3,0.1176
2010,Cash Import Compensation,,
2010,Special Services Tax,,
2010,Pollution Taxes,9556.2,0.008
2010,Import Monopoly Profit,,
2010,Sub-compensation of Flat-rate VAT,,
2010,Other Unmentioned Production Taxes,5995.79,0.005
2010,Fiscal Monopoly Profit,,
2010,Export Duties and Refunds,1334.5,0.0011
2010,Other Production Taxes,51883.06,0.0436
2010,"Land, Building and Other Real Estate Taxes",27059.1,0.0227
2010,Other Unmentioned Product Taxes,3666.2,0.0031
2010,Vehicle Registration Taxes,,
2010,Entertainment Taxes,7.8,0.0
2010,"Lottery, Chance Games and Gambling Tax",4656.5,0.0039
2010,Insurance Premiums Taxes,2296.1,0.0019
2010,Other Special Servies Taxes,6391.6,0.0054
2010,General Sales Tax,,
2010,Use of Fixed Assets Taxes,8955.4,0.0075
2011,Current Capital Taxes,5060.1,0.004
2011,Enterprise Ownership Taxes,,
2011,Per Capita Taxes,,
2011,Consumption Expenditure Taxes,,
2011,Non-Corporate Permit Payments,82.6,0.0001
2011,International Transactions Taxes,,
2011,Other Ownership Taxes,,
2011,Ownership Profit Taxes,,
2011,"Individual or Household Income Tax, Includion Ownership Profit",148721.9,0.1172
2011,"Corporate Income or Profit Tax, Including Ownership Profit",46352.8,0.0365
2011,"Current Income Taxes, Wealth, Etc.",217364.1,0.1713
2011,Income Taxes,197387.6,0.1556
2011,Individual or Household Income Tax Other Than Ownership Profit,148721.9,0.1172
2011,Corporate Income or Profit Taxes Other Than Ownership Profit,46352.8,0.0365
2011,Other Current Taxes,19976.45,0.0157
2011,Gambling Gain Taxes,328.9,0.0003
2011,Imputed Social Contributions at Expense of Employer,,
2011,Household Pension Supplement,,
2011,Real Employer Retirement Contributions,125112.6,0.0986
2011,Individual or Household Equity Taxes,,
2011,Household insurance supplements other than pension insurance,,
2011,Capital Taxes,1592.7,0.0013
2011,Capital Transfer Taxes,761.2,0.0006
2011,Capital Duties,456.6,0.0004
2011,Other Unmentioned Capital Taxes,374.9,0.0003
2011,Imputed Retirement Contributions Carried by Employer,,
2011,Imputed Contributions for Insurance at Expense of Employer Other Than Pension Insurance,,
2011,Real Contributions from Households for Social Security,225611.4,0.1778
2011,Actual Pension Contributions by Households,145337.8,0.1145
2011,Real Contributions from Households for Insurance Other Than Pension Insurance,80273.6,0.0633
2011,Household Social Security Supplements,,
2011,Other Unmentioned Current Taxes,14833.76,0.0117
2011,Net Social Contributions,424609.0,0.3346
2011,Real Employer Social Security Contributions,198997.6,0.1568
2011,"Real Employer Insurance Contributions, Other Than Pension Insurance",73885.0,0.0582
2011,Wage Fund Taxes,21.8,0.0
2011,Other Unmentioned Income Taxes,1984.0,0.0016
2011,Business and Professional Licenses,247.9,0.0002
2011,Tax Stamps,1648.0,0.0013
2011,Capital and Financial Transactions Taxes,7635.0,0.006
2011,Import Duties,38112.8,0.03
2011,"Import Taxes, Except VAT and Import Duties",55439.3,0.0437
2011,Agricultural Products Import Duties,543.4,0.0004
2011,Cash Import Compensation,,
2011,Excise and Consumption Taxes,120377.9,0.0949
2011,Excise Duties,54895.9,0.0433
2011,Total,1268948.0,1.0
2011,Tax Receipts,844339.3,0.6654
2011,Production and Import Taxes,625382.5,0.4928
2011,Product Taxes,572447.9,0.4511
2011,Value Added Taxes,338226.6,0.2665
2011,"Import Taxes and Duties, Except VAT",93552.0,0.0737
2011,General Sales Tax,,
2011,International Transactions Taxes,,
2011,Product Taxes Other than VAT and Import Taxes,140669.2,0.1109
2011,Special Services Tax,,
2011,Pollution Taxes,8375.5,0.0066
2011,Sub-compensation of Flat-rate VAT,,
2011,Other Unmentioned Production Taxes,8074.75,0.0064
2011,Fiscal Monopoly Profit,,
2011,Export Duties and Refunds,,
2011,Other Unmentioned Product Taxes,2190.1,0.0017
2011,Import Monopoly Profit,,
2011,Other Production Taxes,52934.64,0.0417
2011,Use of Fixed Assets Taxes,10049.2,0.0079
2011,Vehicle Registration Taxes,,
2011,Entertainment Taxes,8.2,0.0
2011,"Lottery, Chance Games and Gambling Tax",4345.2,0.0034
2011,Insurance Premiums Taxes,2826.3,0.0022
2011,Other Special Servies Taxes,1638.5,0.0013
2011,General Sales Tax,,
2011,"Land, Building and Other Real Estate Taxes",26165.4,0.0206
2012,Value Added Taxes,368723.9,0.2742
2012,"Import Taxes and Duties, Except VAT",94896.8,0.0706
2012,Product Taxes,602569.6,0.4481
2012,General Sales Tax,,
2012,Tax Receipts,893127.8,0.6641
2012,Other Current Taxes,20410.93,0.0152
2012,Current Capital Taxes,5411.4,0.004
2012,Per Capita Taxes,,
2012,Consumption Expenditure Taxes,,
2012,Non-Corporate Permit Payments,84.3,0.0001
2012,International Transactions Taxes,,
2012,"Real Employer Insurance Contributions, Other Than Pension Insurance",80053.0,0.0595
2012,Enterprise Ownership Taxes,,
2012,Gambling Gain Taxes,310.4,0.0002
2012,Other Unmentioned Income Taxes,2051.7,0.0015
2012,"Individual or Household Income Tax, Includion Ownership Profit",163152.3,0.1213
2012,"Corporate Income or Profit Tax, Including Ownership Profit",50359.6,0.0374
2012,"Current Income Taxes, Wealth, Etc.",236284.9,0.1757
2012,Income Taxes,215874.0,0.1605
2012,Other Ownership Taxes,,
2012,Individual or Household Income Tax Other Than Ownership Profit,163152.3,0.1213
2012,Real Employer Retirement Contributions,132410.4,0.0985
2012,Net Social Contributions,451739.2,0.3359
2012,Production and Import Taxes,655760.7,0.4876
2012,Household Pension Supplement,,
2012,Household insurance supplements other than pension insurance,,
2012,Capital Taxes,1082.1,0.0008
2012,Capital Transfer Taxes,720.5,0.0005
2012,Capital Duties,339.8,0.0003
2012,Real Employer Social Security Contributions,212463.4,0.158
2012,Other Unmentioned Capital Taxes,21.8,0.0
2012,Imputed Contributions for Insurance at Expense of Employer Other Than Pension Insurance,,
2012,Real Contributions from Households for Social Security,239275.9,0.1779
2012,Actual Pension Contributions by Households,152206.9,0.1132
2012,Real Contributions from Households for Insurance Other Than Pension Insurance,87069.0,0.0647
2012,Household Social Security Supplements,,
2012,Other Unmentioned Current Taxes,14915.24,0.0111
2012,Imputed Retirement Contributions Carried by Employer,,
2012,Corporate Income or Profit Taxes Other Than Ownership Profit,50359.6,0.0374
2012,Imputed Social Contributions at Expense of Employer,,
2012,Individual or Household Equity Taxes,,
2012,Ownership Profit Taxes,,
2012,Excise Duties,59259.9,0.0441
2012,Cash Import Compensation,,
2012,Agricultural Products Import Duties,553.7,0.0004
2012,"Import Taxes, Except VAT and Import Duties",59813.6,0.0445
2012,Import Duties,35083.2,0.0261
2012,Capital and Financial Transactions Taxes,6771.1,0.005
2012,Tax Stamps,1255.1,0.0009
2012,Product Taxes Other than VAT and Import Taxes,138948.8,0.1033
2012,Import Monopoly Profit,,
2012,Special Services Tax,,
2012,General Sales Tax,,
2012,Other Special Servies Taxes,863.6,0.0006
2012,Insurance Premiums Taxes,3494.8,0.0026
2012,"Lottery, Chance Games and Gambling Tax",4699.7,0.0035
2012,Excise and Consumption Taxes,119976.8,0.0892
2012,Total,1344867.0,1.0
2012,Wage Fund Taxes,50.6,0.0
2012,Entertainment Taxes,5.3,0.0
2012,International Transactions Taxes,,
2012,Business and Professional Licenses,306.5,0.0002
2012,Pollution Taxes,7099.8,0.0053
2012,Other Unmentioned Production Taxes,7660.39,0.0057
2012,Fiscal Monopoly Profit,,
2012,Sub-compensation of Flat-rate VAT,,
2012,Export Duties and Refunds,,
2012,Other Unmentioned Product Taxes,1882.5,0.0014
2012,Other Production Taxes,53191.14,0.0396
2012,"Land, Building and Other Real Estate Taxes",27759.7,0.0206
2012,Use of Fixed Assets Taxes,10314.1,0.0077
2012,Vehicle Registration Taxes,,
2013,Enterprise Ownership Taxes,,
2013,Per Capita Taxes,,
2013,Consumption Expenditure Taxes,,
2013,Non-Corporate Permit Payments,85.1,0.0001
2013,International Transactions Taxes,,
2013,Current Capital Taxes,5429.0,0.0038
2013,Other Ownership Taxes,,
2013,Corporate Income or Profit Taxes Other Than Ownership Profit,76556.9,0.0534
2013,Other Unmentioned Income Taxes,1858.1,0.0013
2013,"Individual or Household Income Tax, Includion Ownership Profit",150193.7,0.1048
