Region,SettlementType,Year,TypeOfSpending,Amount(RSD),StructuralPercentage
Voyvodina/North,City,2006,Food and Non-Alcoholic Beverages,12144.0,36.0
Voyvodina/North,City,2006,"Alcohol, Tobacco and Narcotics",1314.0,3.9
Voyvodina/North,City,2006,Clothing and Footwear,1901.0,5.6
Voyvodina/North,City,2006,"Housing, Water, Energy, Gas, etc.",6403.0,19.0
Voyvodina/North,City,2006,Home Equipment and Maintenance,1855.0,5.5
Voyvodina/North,City,2006,Health,1221.0,3.6
Voyvodina/North,City,2006,Transport,3324.0,9.8
Voyvodina/North,City,2006,Communication,1133.0,3.4
Voyvodina/North,City,2006,Culture and Recreation,1907.0,5.6
Voyvodina/North,City,2006,Education,301.0,0.9
Voyvodina/North,City,2006,Hotels and Restaurants,532.0,1.6
Voyvodina/North,City,2006,Other Items and Services,1721.0,5.1
Voyvodina/North,Rest,2006,Total,32403.0,100.0
Voyvodina/North,Rest,2006,Food and Non-Alcoholic Beverages,12472.0,38.5
Voyvodina/North,Rest,2006,"Alcohol, Tobacco and Narcotics",1406.0,4.3
Voyvodina/North,Rest,2006,Clothing and Footwear,1542.0,4.8
Voyvodina/North,Rest,2006,"Housing, Water, Energy, Gas, etc.",5735.0,17.7
Voyvodina/North,Rest,2006,Home Equipment and Maintenance,1700.0,5.2
Voyvodina/North,Rest,2006,Health,1367.0,4.2
Voyvodina/North,Rest,2006,Transport,3953.0,12.2
Voyvodina/North,Rest,2006,Communication,937.0,2.9
Voyvodina/North,Rest,2006,Culture and Recreation,1220.0,3.8
Voyvodina/North,Rest,2006,Education,137.0,0.4
Voyvodina/North,Rest,2006,Hotels and Restaurants,451.0,1.4
Voyvodina/North,Rest,2006,Other Items and Services,1483.0,4.6
Central and West,Total,2006,Total,34059.0,100.0
Central and West,Total,2006,Food and Non-Alcoholic Beverages,13662.0,40.2
Central and West,Total,2006,"Alcohol, Tobacco and Narcotics",1474.0,4.3
Central and West,Total,2006,Clothing and Footwear,2357.0,6.9
Central and West,Total,2006,"Housing, Water, Energy, Gas, etc.",5690.0,16.7
Central and West,Total,2006,Home Equipment and Maintenance,1610.0,4.7
Central and West,Total,2006,Health,1309.0,3.8
Central and West,Total,2006,Transport,3553.0,10.4
Central and West,Total,2006,Communication,1054.0,3.1
Central and West,Total,2006,Culture and Recreation,1462.0,4.3
Central and West,Total,2006,Education,394.0,1.2
Central and West,Total,2006,Hotels and Restaurants,476.0,1.4
Central and West,Total,2006,Other Items and Services,1018.0,3.0
Central and West,City,2006,Total,33642.0,100.0
Central and West,City,2006,Food and Non-Alcoholic Beverages,12951.0,38.5
Central and West,City,2006,"Alcohol, Tobacco and Narcotics",1359.0,4.0
Central and West,City,2006,Clothing and Footwear,2532.0,7.5
Central and West,City,2006,"Housing, Water, Energy, Gas, etc.",5952.0,17.7
Central and West,City,2006,Home Equipment and Maintenance,1526.0,4.5
Central and West,City,2006,Health,1338.0,4.0
Central and West,City,2006,Transport,2951.0,8.8
Central and West,City,2006,Communication,1195.0,3.6
Central and West,City,2006,Culture and Recreation,1812.0,5.4
Central and West,City,2006,Education,489.0,1.5
Central and West,City,2006,Hotels and Restaurants,482.0,1.4
Central and West,City,2006,Other Items and Services,1055.0,3.1
Central and West,Rest,2006,Total,34417.0,100.0
Central and West,Rest,2006,Food and Non-Alcoholic Beverages,14295.0,41.5
Central and West,Rest,2006,"Alcohol, Tobacco and Narcotics",1580.0,4.6
Central and West,Rest,2006,Clothing and Footwear,2199.0,6.4
Central and West,Rest,2006,"Housing, Water, Energy, Gas, etc.",5457.0,15.9
Central and West,Rest,2006,Home Equipment and Maintenance,1686.0,4.9
Central and West,Rest,2006,Health,1282.0,3.7
Central and West,Rest,2006,Transport,4085.0,11.9
Central and West,Rest,2006,Communication,928.0,2.7
Central and West,Rest,2006,Culture and Recreation,1149.0,3.3
Central and West,Rest,2006,Education,307.0,0.9
Central and West,Rest,2006,Hotels and Restaurants,470.0,1.4
Central and West,Rest,2006,Other Items and Services,979.0,2.8
South and East,Total,2006,Total,30482.0,100.0
South and East,Total,2006,Food and Non-Alcoholic Beverages,13255.0,43.4
South and East,Total,2006,"Alcohol, Tobacco and Narcotics",1521.0,5.0
South and East,Total,2006,Clothing and Footwear,1879.0,6.2
South and East,Total,2006,"Housing, Water, Energy, Gas, etc.",4440.0,14.6
South and East,Total,2006,Home Equipment and Maintenance,1594.0,5.2
South and East,Total,2006,Health,1167.0,3.8
South and East,Total,2006,Transport,2779.0,9.1
South and East,Total,2006,Communication,948.0,3.1
South and East,Total,2006,Culture and Recreation,1118.0,3.7
South and East,Total,2006,Education,278.0,0.9
South and East,Total,2006,Hotels and Restaurants,416.0,1.4
South and East,Total,2006,Other Items and Services,1087.0,3.6
South and East,City,2006,Total,32860.0,100.0
South and East,City,2006,Food and Non-Alcoholic Beverages,13430.0,40.9
South and East,City,2006,"Alcohol, Tobacco and Narcotics",1451.0,4.4
South and East,City,2006,Clothing and Footwear,2276.0,6.9
South and East,City,2006,"Housing, Water, Energy, Gas, etc.",4848.0,14.9
South and East,City,2006,Home Equipment and Maintenance,1876.0,5.7
South and East,City,2006,Health,1276.0,3.9
South and East,City,2006,Transport,2734.0,8.3
South and East,City,2006,Communication,1127.0,3.4
South and East,City,2006,Culture and Recreation,1584.0,4.8
South and East,City,2006,Education,406.0,1.2
South and East,City,2006,Hotels and Restaurants,564.0,1.7
South and East,City,2006,Other Items and Services,1288.0,3.9
South and East,Rest,2006,Total,28117.0,100.0
South and East,Rest,2006,Food and Non-Alcoholic Beverages,13084.0,46.6
South and East,Rest,2006,"Alcohol, Tobacco and Narcotics",1588.0,5.6
South and East,Rest,2006,Clothing and Footwear,1482.0,5.3
South and East,Rest,2006,"Housing, Water, Energy, Gas, etc.",4033.0,14.3
South and East,Rest,2006,Home Equipment and Maintenance,1311.0,4.7
South and East,Rest,2006,Health,1062.0,3.8
South and East,Rest,2006,Transport,2824.0,10.0
South and East,Rest,2006,Communication,767.0,2.7
South and East,Rest,2006,Culture and Recreation,655.0,2.3
South and East,Rest,2006,Education,152.0,0.5
South and East,Rest,2006,Hotels and Restaurants,271.0,1.0
South and East,Rest,2006,Other Items and Services,888.0,3.2
State,Total,2007,Total,35414.0,100.0
State,Total,2007,Food and Non-Alcoholic Beverages,14300.0,40.3
State,Total,2007,"Alcohol, Tobacco and Narcotics",1707.0,4.8
State,Total,2007,Clothing and Footwear,2058.0,5.8
State,Total,2007,"Housing, Water, Energy, Gas, etc.",5208.0,14.7
State,Total,2007,Home Equipment and Maintenance,1715.0,4.8
State,Total,2007,Health,1486.0,4.2
State,Total,2007,Transport,3633.0,10.3
State,Total,2007,Communication,1142.0,3.2
State,Total,2007,Culture and Recreation,1684.0,4.8
State,Total,2007,Education,376.0,1.1
State,Total,2007,Hotels and Restaurants,620.0,1.8
State,Total,2007,Other Items and Services,1485.0,4.2
State,City,2007,Total,37262.0,100.0
State,City,2007,Food and Non-Alcoholic Beverages,14387.0,38.6
State,City,2007,"Alcohol, Tobacco and Narcotics",1642.0,4.4
State,City,2007,Clothing and Footwear,2320.0,6.2
State,City,2007,"Housing, Water, Energy, Gas, etc.",5592.0,15.0
State,City,2007,Home Equipment and Maintenance,1777.0,4.8
State,City,2007,Health,1618.0,4.3
State,City,2007,Transport,3722.0,10.0
State,City,2007,Communication,1300.0,3.5
State,City,2007,Culture and Recreation,2082.0,5.6
State,City,2007,Education,473.0,1.3
State,City,2007,Hotels and Restaurants,706.0,1.9
State,City,2007,Other Items and Services,1643.0,4.4
State,Rest,2007,Total,32759.0,100.0
State,Rest,2007,Food and Non-Alcoholic Beverages,14172.0,43.3
State,Rest,2007,"Alcohol, Tobacco and Narcotics",1800.0,5.5
State,Rest,2007,Clothing and Footwear,1683.0,5.1
State,Rest,2007,"Housing, Water, Energy, Gas, etc.",4655.0,14.2
State,Rest,2007,Home Equipment and Maintenance,1628.0,5.0
State,Rest,2007,Health,1295.0,4.0
State,Rest,2007,Transport,3504.0,10.7
State,Rest,2007,Communication,916.0,2.8
State,Rest,2007,Culture and Recreation,1115.0,3.4
State,Rest,2007,Education,235.0,0.7
State,Rest,2007,Hotels and Restaurants,498.0,1.5
State,Rest,2007,Other Items and Services,1258.0,3.8
Belgrade,Total,2007,Total,43715.0,100.0
Belgrade,Total,2007,Food and Non-Alcoholic Beverages,17491.0,40.0
Belgrade,Total,2007,"Alcohol, Tobacco and Narcotics",2132.0,4.9
Belgrade,Total,2007,Clothing and Footwear,2742.0,6.3
Belgrade,Total,2007,"Housing, Water, Energy, Gas, etc.",5693.0,13.0
Belgrade,Total,2007,Home Equipment and Maintenance,1825.0,4.2
Belgrade,Total,2007,Health,2134.0,4.9
Belgrade,Total,2007,Transport,4081.0,9.3
Belgrade,Total,2007,Communication,1474.0,3.4
Belgrade,Total,2007,Culture and Recreation,2628.0,6.0
Belgrade,Total,2007,Education,486.0,1.1
Belgrade,Total,2007,Hotels and Restaurants,812.0,1.8
Belgrade,Total,2007,Other Items and Services,2217.0,5.1
Belgrade,City,2007,Total,43623.0,100.0
Belgrade,City,2007,Food and Non-Alcoholic Beverages,17228.0,39.6
Belgrade,City,2007,"Alcohol, Tobacco and Narcotics",1982.0,4.5
Belgrade,City,2007,Clothing and Footwear,2882.0,6.6
Belgrade,City,2007,"Housing, Water, Energy, Gas, etc.",5750.0,13.2
Belgrade,City,2007,Home Equipment and Maintenance,1787.0,4.1
Belgrade,City,2007,Health,2113.0,4.8
Belgrade,City,2007,Transport,4092.0,9.4
Belgrade,City,2007,Communication,1514.0,3.5
Belgrade,City,2007,Culture and Recreation,2726.0,6.2
Belgrade,City,2007,Education,476.0,1.1
Belgrade,City,2007,Hotels and Restaurants,830.0,1.9
Belgrade,City,2007,Other Items and Services,2243.0,5.1
Belgrade,Rest,2007,Total,44173.0,100.0
Belgrade,Rest,2007,Food and Non-Alcoholic Beverages,18805.0,42.6
Belgrade,Rest,2007,"Alcohol, Tobacco and Narcotics",2884.0,6.5
Belgrade,Rest,2007,Clothing and Footwear,2035.0,4.6
Belgrade,Rest,2007,"Housing, Water, Energy, Gas, etc.",5398.0,12.2
Belgrade,Rest,2007,Home Equipment and Maintenance,2020.0,4.6
Belgrade,Rest,2007,Health,2239.0,5.1
Belgrade,Rest,2007,Transport,4027.0,9.1
Belgrade,Rest,2007,Communication,1268.0,2.9
Belgrade,Rest,2007,Culture and Recreation,2132.0,4.8
Belgrade,Rest,2007,Education,553.0,1.3
Belgrade,Rest,2007,Hotels and Restaurants,722.0,1.6
Belgrade,Rest,2007,Other Items and Services,2090.0,4.7
Voyvodina/North,Total,2007,Total,33205.0,100.0
Voyvodina/North,Total,2007,Food and Non-Alcoholic Beverages,12169.0,36.6
Voyvodina/North,Total,2007,"Alcohol, Tobacco and Narcotics",1356.0,4.1
Voyvodina/North,Total,2007,Clothing and Footwear,1686.0,5.1
Voyvodina/North,Total,2007,"Housing, Water, Energy, Gas, etc.",5449.0,16.4
Voyvodina/North,Total,2007,Home Equipment and Maintenance,1930.0,5.8
Voyvodina/North,Total,2007,Health,1415.0,4.3
Voyvodina/North,Total,2007,Transport,3911.0,11.8
Voyvodina/North,Total,2007,Communication,1010.0,3.0
Voyvodina/North,Total,2007,Culture and Recreation,1662.0,5.0
Voyvodina/North,Total,2007,Education,324.0,1.0
Voyvodina/North,Total,2007,Hotels and Restaurants,550.0,1.7
Voyvodina/North,Total,2007,Other Items and Services,1743.0,5.2
Voyvodina/North,City,2007,Total,35266.0,100.0
Voyvodina/North,City,2007,Food and Non-Alcoholic Beverages,12162.0,34.5
Voyvodina/North,City,2007,"Alcohol, Tobacco and Narcotics",1278.0,3.6
Voyvodina/North,City,2007,Clothing and Footwear,1892.0,5.4
Voyvodina/North,City,2007,"Housing, Water, Energy, Gas, etc.",6084.0,17.2
Voyvodina/North,City,2007,Home Equipment and Maintenance,2030.0,5.8
Voyvodina/North,City,2007,Health,1598.0,4.5
Voyvodina/North,City,2007,Transport,4180.0,11.8
Voyvodina/North,City,2007,Communication,1145.0,3.2
Voyvodina/North,City,2007,Culture and Recreation,1996.0,5.7
Voyvodina/North,City,2007,Education,409.0,1.2
Voyvodina/North,City,2007,Hotels and Restaurants,595.0,1.7
Voyvodina/North,City,2007,Other Items and Services,1897.0,5.4
Voyvodina/North,Rest,2007,Total,30376.0,100.0
Voyvodina/North,Rest,2007,Food and Non-Alcoholic Beverages,12176.0,40.2
Voyvodina/North,Rest,2007,"Alcohol, Tobacco and Narcotics",1464.0,4.8
Voyvodina/North,Rest,2007,Clothing and Footwear,1401.0,4.6
Voyvodina/North,Rest,2007,"Housing, Water, Energy, Gas, etc.",4581.0,15.1
Voyvodina/North,Rest,2007,Home Equipment and Maintenance,1794.0,5.9
Voyvodina/North,Rest,2007,Health,1163.0,3.8
Voyvodina/North,Rest,2007,Transport,3545.0,11.7
Voyvodina/North,Rest,2007,Communication,825.0,2.7
Voyvodina/North,Rest,2007,Culture and Recreation,1197.0,3.9
Voyvodina/North,Rest,2007,Education,210.0,0.7
Voyvodina/North,Rest,2007,Hotels and Restaurants,488.0,1.6
Voyvodina/North,Rest,2007,Other Items and Services,1532.0,5.0
Central and West,Total,2007,Total,35046.0,100.0
Central and West,Total,2007,Food and Non-Alcoholic Beverages,14129.0,40.3
Central and West,Total,2007,"Alcohol, Tobacco and Narcotics",1861.0,5.3
Central and West,Total,2007,Clothing and Footwear,2214.0,6.3
Central and West,Total,2007,"Housing, Water, Energy, Gas, etc.",5475.0,15.6
Central and West,Total,2007,Home Equipment and Maintenance,1633.0,4.7
Central and West,Total,2007,Health,1361.0,3.9
Central and West,Total,2007,Transport,3640.0,10.4
Central and West,Total,2007,Communication,1151.0,3.3
Central and West,Total,2007,Culture and Recreation,1410.0,4.0
Central and West,Total,2007,Education,419.0,1.2
Central and West,Total,2007,Hotels and Restaurants,638.0,1.8
Central and West,Total,2007,Other Items and Services,1115.0,3.2
Central and West,City,2007,Total,35710.0,100.0
Central and West,City,2007,Food and Non-Alcoholic Beverages,13662.0,38.2
Central and West,City,2007,"Alcohol, Tobacco and Narcotics",1717.0,4.8
Central and West,City,2007,Clothing and Footwear,2490.0,7.0
Central and West,City,2007,"Housing, Water, Energy, Gas, etc.",5721.0,16.0
Central and West,City,2007,Home Equipment and Maintenance,1676.0,4.7
Central and West,City,2007,Health,1398.0,3.9
Central and West,City,2007,Transport,3341.0,9.4
Central and West,City,2007,Communication,1308.0,3.7
Central and West,City,2007,Culture and Recreation,1844.0,5.2
Central and West,City,2007,Education,710.0,2.0
Central and West,City,2007,Hotels and Restaurants,758.0,2.1
Central and West,City,2007,Other Items and Services,1085.0,3.0
Central and West,Rest,2007,Total,34458.0,100.0
Central and West,Rest,2007,Food and Non-Alcoholic Beverages,14540.0,42.2
Central and West,Rest,2007,"Alcohol, Tobacco and Narcotics",1988.0,5.8
Central and West,Rest,2007,Clothing and Footwear,1972.0,5.7
Central and West,Rest,2007,"Housing, Water, Energy, Gas, etc.",5255.0,15.3
Central and West,Rest,2007,Home Equipment and Maintenance,1600.0,4.6
Central and West,Rest,2007,Health,1331.0,3.9
Central and West,Rest,2007,Transport,3905.0,11.3
Central and West,Rest,2007,Communication,1012.0,2.9
Central and West,Rest,2007,Culture and Recreation,1023.0,3.0
Central and West,Rest,2007,Education,159.0,0.5
Central and West,Rest,2007,Hotels and Restaurants,530.0,1.5
Central and West,Rest,2007,Other Items and Services,1143.0,3.3
South and East,Total,2007,Total,30225.0,100.0
South and East,Total,2007,Food and Non-Alcoholic Beverages,13925.0,46.1
South and East,Total,2007,"Alcohol, Tobacco and Narcotics",1520.0,5.0
South and East,Total,2007,Clothing and Footwear,1639.0,5.4
South and East,Total,2007,"Housing, Water, Energy, Gas, etc.",4100.0,13.6
South and East,Total,2007,Home Equipment and Maintenance,1441.0,4.8
South and East,Total,2007,Health,1062.0,3.5
South and East,Total,2007,Transport,2825.0,9.3
South and East,Total,2007,Communication,960.0,3.2
South and East,Total,2007,Culture and Recreation,1104.0,3.7
South and East,Total,2007,Education,277.0,0.9
South and East,Total,2007,Hotels and Restaurants,496.0,1.6
South and East,Total,2007,Other Items and Services,876.0,2.9
South and East,City,2007,Total,31197.0,100.0
South and East,City,2007,Food and Non-Alcoholic Beverages,13616.0,43.6
South and East,City,2007,"Alcohol, Tobacco and Narcotics",1496.0,4.8
South and East,City,2007,Clothing and Footwear,1789.0,5.7
South and East,City,2007,"Housing, Water, Energy, Gas, etc.",4481.0,14.4
South and East,City,2007,Home Equipment and Maintenance,1521.0,4.9
South and East,City,2007,Health,1058.0,3.4
South and East,City,2007,Transport,2876.0,9.2
South and East,City,2007,Communication,1151.0,3.7
South and East,City,2007,Culture and Recreation,1397.0,4.5
South and East,City,2007,Education,299.0,1.0
South and East,City,2007,Hotels and Restaurants,601.0,1.9
South and East,City,2007,Other Items and Services,912.0,2.9
South and East,Rest,2007,Total,29249.0,100.0
South and East,Rest,2007,Food and Non-Alcoholic Beverages,14230.0,48.6
South and East,Rest,2007,"Alcohol, Tobacco and Narcotics",1546.0,5.3
South and East,Rest,2007,Clothing and Footwear,1486.0,5.1
South and East,Rest,2007,"Housing, Water, Energy, Gas, etc.",3721.0,12.7
South and East,Rest,2007,Home Equipment and Maintenance,1359.0,4.6
South and East,Rest,2007,Health,1069.0,3.7
South and East,Rest,2007,Transport,2773.0,9.5
South and East,Rest,2007,Communication,772.0,2.6
South and East,Rest,2007,Culture and Recreation,809.0,2.8
South and East,Rest,2007,Education,253.0,0.9
South and East,Rest,2007,Hotels and Restaurants,390.0,1.3
South and East,Rest,2007,Other Items and Services,841.0,2.9
State,Total,2008,Total,40100.0,100.0
State,Total,2008,Food and Non-Alcoholic Beverages,16570.0,41.3
State,Total,2008,"Alcohol, Tobacco and Narcotics",1790.0,4.5
State,Total,2008,Clothing and Footwear,2273.0,5.7
State,Total,2008,"Housing, Water, Energy, Gas, etc.",6227.0,15.5
State,Total,2008,Home Equipment and Maintenance,1816.0,4.5
State,Total,2008,Health,1595.0,4.0
State,Total,2008,Transport,3765.0,9.4
State,Total,2008,Communication,1331.0,3.3
State,Total,2008,Culture and Recreation,1886.0,4.7
State,Total,2008,Education,401.0,1.0
State,Total,2008,Hotels and Restaurants,787.0,2.0
State,Total,2008,Other Items and Services,1659.0,4.1
State,City,2008,Total,41792.0,100.0
State,City,2008,Food and Non-Alcoholic Beverages,16708.0,40.0
State,City,2008,"Alcohol, Tobacco and Narcotics",1734.0,4.1
State,City,2008,Clothing and Footwear,2433.0,5.8
State,City,2008,"Housing, Water, Energy, Gas, etc.",6637.0,15.9
State,City,2008,Home Equipment and Maintenance,1805.0,4.3
State,City,2008,Health,1737.0,4.2
State,City,2008,Transport,3653.0,8.7
State,City,2008,Communication,1472.0,3.5
State,City,2008,Culture and Recreation,2362.0,5.7
State,City,2008,Education,515.0,1.2
State,City,2008,Hotels and Restaurants,904.0,2.2
State,City,2008,Other Items and Services,1832.0,4.4
State,Rest,2008,Total,37666.0,100.0
State,Rest,2008,Food and Non-Alcoholic Beverages,16366.0,43.6
State,Rest,2008,"Alcohol, Tobacco and Narcotics",1869.0,5.0
State,Rest,2008,Clothing and Footwear,2046.0,5.4
State,Rest,2008,"Housing, Water, Energy, Gas, etc.",5647.0,15.0
State,Rest,2008,Home Equipment and Maintenance,1826.0,4.8
State,Rest,2008,Health,1391.0,3.7
State,Rest,2008,Transport,3924.0,10.4
State,Rest,2008,Communication,1128.0,3.0
State,Rest,2008,Culture and Recreation,1203.0,3.2
State,Rest,2008,Education,238.0,0.6
State,Rest,2008,Hotels and Restaurants,620.0,1.6
State,Rest,2008,Other Items and Services,1408.0,3.7
Belgrade,Total,2008,Total,47056.0,100.0
Belgrade,Total,2008,Food and Non-Alcoholic Beverages,19011.0,40.3
Belgrade,Total,2008,"Alcohol, Tobacco and Narcotics",1975.0,4.2
Belgrade,Total,2008,Clothing and Footwear,2529.0,5.4
Belgrade,Total,2008,"Housing, Water, Energy, Gas, etc.",6759.0,14.4
Belgrade,Total,2008,Home Equipment and Maintenance,1602.0,3.4
Belgrade,Total,2008,Health,2455.0,5.2
Belgrade,Total,2008,Transport,4059.0,8.6
Belgrade,Total,2008,Communication,1583.0,3.4
Belgrade,Total,2008,Culture and Recreation,3017.0,6.4
Belgrade,Total,2008,Education,594.0,1.3
Belgrade,Total,2008,Hotels and Restaurants,1065.0,2.3
Belgrade,Total,2008,Other Items and Services,2407.0,5.1
Belgrade,City,2008,Total,46639.0,100.0
Belgrade,City,2008,Food and Non-Alcoholic Beverages,19237.0,41.3
Belgrade,City,2008,"Alcohol, Tobacco and Narcotics",1885.0,4.0
Belgrade,City,2008,Clothing and Footwear,2417.0,5.2
Belgrade,City,2008,"Housing, Water, Energy, Gas, etc.",6719.0,14.4
Belgrade,City,2008,Home Equipment and Maintenance,1507.0,3.2
Belgrade,City,2008,Health,2448.0,5.2
Belgrade,City,2008,Transport,3543.0,7.6
Belgrade,City,2008,Communication,1607.0,3.4
Belgrade,City,2008,Culture and Recreation,3214.0,6.9
Belgrade,City,2008,Education,653.0,1.5
Belgrade,City,2008,Hotels and Restaurants,1070.0,2.3
Belgrade,City,2008,Other Items and Services,2339.0,5.0
Belgrade,Rest,2008,Total,49163.0,100.0
Belgrade,Rest,2008,Food and Non-Alcoholic Beverages,17882.0,36.4
Belgrade,Rest,2008,"Alcohol, Tobacco and Narcotics",2428.0,4.9
Belgrade,Rest,2008,Clothing and Footwear,3083.0,6.3
Belgrade,Rest,2008,"Housing, Water, Energy, Gas, etc.",6968.0,14.2
Belgrade,Rest,2008,Home Equipment and Maintenance,2086.0,4.2
Belgrade,Rest,2008,Health,2491.0,5.1
Belgrade,Rest,2008,Transport,6659.0,13.5
Belgrade,Rest,2008,Communication,1464.0,3.0
Belgrade,Rest,2008,Culture and Recreation,2016.0,4.1
Belgrade,Rest,2008,Education,293.0,0.6
Belgrade,Rest,2008,Hotels and Restaurants,1031.0,2.1
Belgrade,Rest,2008,Other Items and Services,2762.0,5.6
Voyvodina/North,Total,2008,Total,39851.0,100.0
Voyvodina/North,Total,2008,Food and Non-Alcoholic Beverages,15501.0,38.9
Voyvodina/North,Total,2008,"Alcohol, Tobacco and Narcotics",1591.0,4.0
Voyvodina/North,Total,2008,Clothing and Footwear,2178.0,5.5
